,ranking,rating,time1,number_of_comments
222,223,8.7,1992,502932
223,224,8.7,2001,496897
224,225,8.7,1988,439734
225,226,8.6,2008,568747
226,227,8.8,1997,344784
227,228,8.9,1966,291792
228,229,8.8,1950,354264
229,230,8.5,2003,798891
230,231,8.6,2007,684998
231,232,8.6,2013,674458
232,233,8.5,2004,741202
233,234,8.6,2016,642468
234,235,8.5,2015,822411
235,236,8.7,2003,450676
236,237,8.6,2017,596350
237,238,8.8,2008,321724
238,239,8.8,2001,313821
239,240,8.7,2005,411171
240,241,8.7,1988,436151
241,242,8.7,2004,395209
242,243,9.0,1995,213517
243,244,8.6,2018,749000
244,245,8.5,2013,812143
245,246,8.7,2006,418196
246,247,8.8,1940,307626
247,248,8.9,2016,266688
248,249,8.7,2015,397237
249,250,8.5,2016,562264
